Datum,app_opens,swipes_likes,swipes_passes,superlikes,matches,messages_sent,messages_received,advertising_id,idfa,total_swipes
2022-07-11,27,52,37,0,1,0,0,,,89
2022-07-12,36,400,202,2,3,0,0,,,602
2022-07-13,27,261,111,0,0,0,0,,,372
2022-07-14,19,179,144,0,0,0,0,,,323
2022-07-15,12,65,32,1,0,0,0,,,97
2022-07-16,13,102,78,0,1,0,0,,,180
2022-07-17,5,267,139,0,0,0,0,,,406
2022-07-18,10,185,118,0,0,0,0,,,303
2022-07-19,4,168,87,1,0,0,0,,,255
2022-07-20,22,405,226,0,0,0,0,,,631
2022-07-21,5,132,74,0,0,0,0,,,206
2022-07-22,28,199,120,0,1,1,0,,,319
2022-07-23,13,33,12,0,0,0,0,,,45
2022-07-24,12,129,54,0,0,0,0,,,183
2022-07-25,14,164,100,1,0,0,0,,,264
2022-07-26,4,5,8,0,0,0,0,,,13
2022-07-27,8,90,77,0,0,0,0,,,167
2022-07-28,4,117,75,0,0,0,0,,,192
2022-07-29,4,7,3,0,0,0,0,,,10
2022-07-30,15,84,53,1,0,0,0,,,137
2022-07-31,25,204,168,0,0,0,0,,,372
2022-08-01,17,235,271,0,1,0,0,,,506
2022-08-02,4,37,40,0,0,0,0,,,77
2022-08-03,10,64,89,0,0,0,0,,,153
2022-08-04,17,737,602,0,0,0,0,,,1339
2022-08-05,10,114,83,0,0,0,0,,,197
2022-08-06,17,390,420,1,0,0,0,,,810
2022-08-07,5,62,63,0,0,0,0,,,125
2022-08-08,5,62,60,1,0,0,0,,,122
2022-08-09,5,18,19,0,0,0,0,,,37
2022-08-10,5,43,46,0,0,0,0,,,89
2022-08-11,2,20,14,0,0,0,0,,,34
2022-08-12,3,20,11,0,0,0,0,,,31
2022-08-13,6,42,15,0,0,0,0,,,57
2022-08-14,2,43,27,0,0,0,0,,,70
2022-08-15,2,2,0,0,0,0,0,,,2
2022-08-17,3,20,9,0,0,0,0,,,29
2022-08-18,6,41,26,0,1,0,0,,,67
2022-08-19,1,10,8,0,0,0,0,,,18
2022-08-21,6,101,63,1,0,0,0,,,164
2022-08-22,6,50,39,0,0,0,0,,,89
2022-08-23,3,6,2,0,0,0,0,,,8
2022-08-24,2,19,17,0,0,0,0,,,36
2022-08-25,10,41,35,0,1,0,0,,,76
2022-08-26,11,85,75,0,0,0,0,,,160
2022-08-27,8,38,25,0,0,0,0,,,63
2022-08-28,27,56,40,0,1,0,0,,,96
2022-08-29,51,65,71,1,0,14,15,,,136
2022-08-30,19,55,38,0,0,4,3,,,93
2022-08-31,23,96,74,0,0,2,3,,,170
2022-09-01,45,79,33,0,0,12,18,,,112
2022-09-02,11,52,20,0,0,0,0,,,72
2022-09-03,28,32,25,0,1,1,0,,,57
2022-09-04,8,26,13,0,0,0,0,,,39
2022-09-05,16,45,21,0,0,0,0,,,66
2022-09-06,9,68,37,0,0,0,0,,,105
2022-09-07,8,51,34,0,0,0,0,,,85
2022-09-08,8,50,25,0,0,0,0,,,75
2022-09-09,23,52,25,0,0,0,0,,,77
2022-09-10,15,81,44,0,1,0,0,,,125
2022-09-11,23,51,40,0,0,0,0,,,91
2022-09-12,9,80,99,0,1,0,0,,,179
2022-09-13,10,53,54,0,0,0,0,,,107
2022-09-14,18,42,21,0,2,0,0,,,63
2022-09-15,26,60,22,0,0,1,0,,,82
2022-09-16,10,43,26,0,0,0,0,,,69
2022-09-17,14,33,10,0,0,0,0,,,43
2022-09-18,10,20,16,0,0,0,0,,,36
2022-09-19,17,51,28,0,0,0,0,,,79
2022-09-20,11,11,3,0,0,0,0,,,14
2022-09-21,9,41,20,0,0,0,0,,,61
2022-09-22,7,20,6,0,0,0,0,,,26
2022-09-23,5,19,8,0,0,0,0,,,27
2022-09-24,14,43,26,0,1,1,0,,,69
2022-09-25,3,15,8,0,0,0,0,,,23
2022-09-26,13,53,21,0,0,0,0,,,74
2022-09-27,12,25,12,0,0,0,0,,,37
2022-09-28,14,39,14,0,0,0,0,,,53
2022-09-29,8,19,11,0,0,0,0,,,30
2022-09-30,16,48,22,0,0,0,0,,,70
2022-10-01,29,52,18,0,1,1,0,,,70
2022-10-02,28,51,25,0,0,3,3,,,76
2022-10-03,16,51,39,0,0,0,0,,,90
2022-10-04,24,51,38,0,0,1,0,,,89
2022-10-05,21,68,48,0,0,0,0,,,116
2022-10-06,17,51,30,0,0,0,0,,,81
2022-10-07,12,39,10,0,0,0,0,,,49
2022-10-08,16,24,12,0,0,0,0,,,36
2022-10-09,15,51,29,0,0,0,0,,,80
2022-10-10,18,50,13,0,0,0,0,,,63
2022-10-11,27,38,14,0,1,1,1,,,52
2022-10-12,9,5,1,0,0,0,0,,,6
2022-10-13,19,56,28,0,0,0,0,,,84
2022-10-14,19,57,24,0,1,0,0,,,81
2022-10-15,20,52,26,0,0,0,0,,,78
2022-10-16,17,37,8,0,0,0,0,,,45
2022-10-17,14,50,14,0,0,0,0,,,64
2022-10-18,29,52,30,0,1,2,0,,,82
2022-10-19,21,57,15,0,0,1,0,,,72
2022-10-20,16,31,5,0,0,0,0,,,36
2022-10-21,20,49,9,0,0,0,0,,,58
2022-10-22,15,5,6,0,0,3,4,,,11
2022-10-23,8,14,7,0,0,0,0,,,21
2022-10-24,18,51,18,0,0,0,0,,,69
2022-10-25,11,16,2,0,0,0,0,,,18
2022-10-26,9,14,4,0,1,0,0,,,18
2022-10-27,9,18,12,0,0,0,0,,,30
2022-10-28,10,58,102,0,0,0,0,,,160
2022-10-29,20,58,37,0,0,1,0,,,95
2022-10-30,18,53,55,0,0,0,0,,,108
2022-10-31,18,52,53,0,0,0,0,,,105
2022-11-01,17,64,68,0,0,0,0,,,132
2022-11-02,25,103,102,0,1,0,0,,,205
2022-11-03,19,56,73,0,0,0,0,,,129
2022-11-04,17,60,78,0,0,0,0,,,138
2022-11-05,8,51,33,0,0,0,0,,,84
2022-11-06,7,33,29,0,1,0,0,,,62
2022-11-07,28,52,84,0,0,1,0,,,136
2022-11-08,15,52,64,0,0,0,0,,,116
2022-11-09,33,104,119,0,1,2,0,,,223
2022-11-10,19,53,42,0,0,0,0,,,95
2022-11-11,9,33,24,0,0,0,0,,,57
2022-11-12,42,91,90,0,0,2,1,,,181
2022-11-13,22,53,62,0,0,0,0,,,115
2022-11-14,62,97,105,0,0,10,12,,,202
2022-11-15,33,100,151,0,0,1,2,,,251
2022-11-16,55,53,47,0,0,8,11,,,100
2022-11-17,18,65,37,0,0,2,2,,,102
2022-11-18,16,88,245,0,1,0,1,,,333
2022-11-19,16,9,11,0,0,2,4,,,20
2022-11-20,13,51,116,0,0,1,0,,,167
2022-11-21,13,51,122,0,0,0,0,,,173
2022-11-22,18,62,105,0,0,0,0,,,167
2022-11-23,11,19,25,0,0,0,0,,,44
2022-11-24,11,51,78,0,0,0,0,,,129
2022-11-25,6,27,44,0,0,0,0,,,71
2022-11-26,12,87,181,0,0,0,0,,,268
2022-11-27,8,51,74,0,0,0,0,,,125
2022-11-28,22,54,114,0,0,0,0,,,168
2022-11-29,29,51,54,0,0,0,0,,,105
2022-11-30,17,52,84,0,1,0,0,,,136
2022-12-01,19,79,143,0,1,1,0,,,222
2022-12-02,24,52,49,0,0,0,0,,,101
2022-12-03,25,52,65,0,0,1,1,,,117
2022-12-04,12,50,81,0,0,0,0,,,131
2022-12-05,19,102,129,0,0,0,0,,,231
2022-12-06,15,39,65,0,0,0,0,,,104
2022-12-07,18,76,34,0,0,0,0,,,110
2022-12-08,22,55,89,0,0,0,0,,,144
2022-12-09,18,85,145,0,0,0,0,,,230
2022-12-10,23,52,186,0,0,0,0,,,238
2022-12-11,22,102,109,0,0,0,0,,,211
2022-12-12,31,59,188,0,0,0,0,,,247
2022-12-13,22,66,155,0,1,1,0,,,221
2022-12-14,20,49,70,0,0,0,0,,,119
2022-12-15,17,50,78,0,0,0,0,,,128
2022-12-16,15,52,57,0,0,0,0,,,109
2022-12-17,3,8,3,0,0,0,0,,,11
2022-12-18,11,55,79,0,0,0,0,,,134
2022-12-19,7,15,14,0,1,0,0,,,29
2022-12-20,13,18,31,0,0,0,0,,,49
2022-12-21,3,15,14,0,0,0,0,,,29
2022-12-22,12,57,86,0,0,0,0,,,143
2022-12-23,10,53,57,0,0,0,0,,,110
2022-12-24,7,57,90,0,0,0,0,,,147
2022-12-25,6,6,7,0,0,0,0,,,13
2022-12-26,7,55,34,0,0,0,0,,,89
2022-12-27,10,51,53,0,0,0,0,,,104
2022-12-28,14,65,50,0,1,0,0,,,115
2022-12-29,7,13,1,0,0,0,0,,,14
2022-12-30,10,27,6,0,0,0,0,,,33
2022-12-31,3,0,0,0,0,0,0,,,0
2023-01-01,13,49,48,0,0,0,0,,,97
2023-01-02,11,11,2,0,0,0,0,,,13
2023-01-03,9,49,29,0,0,0,0,,,78
2023-01-04,22,101,92,0,0,0,0,,,193
2023-01-05,14,50,55,0,0,0,0,,,105
2023-01-06,17,53,78,0,0,0,0,,,131
2023-01-07,12,10,15,0,0,1,0,,,25
2023-01-08,11,17,5,0,0,0,0,,,22
2023-01-09,7,25,11,0,0,0,0,,,36
2023-01-10,10,53,50,0,0,0,0,,,103
2023-01-11,22,92,117,0,0,0,0,,,209
2023-01-12,10,50,91,0,0,0,0,,,141
2023-01-13,23,70,111,0,1,0,0,,,181
2023-01-14,15,43,30,0,1,0,0,,,73
2023-01-15,15,51,63,0,0,0,0,,,114
2023-01-16,9,55,33,0,0,0,0,,,88
2023-01-17,8,51,50,0,0,0,0,,,101
2023-01-18,8,12,13,0,0,0,0,,,25
2023-01-19,17,49,72,0,0,0,0,,,121
2023-01-20,20,70,112,0,1,1,0,,,182
2023-01-21,15,33,21,0,0,0,0,,,54
2023-01-22,11,52,61,0,0,0,0,,,113
2023-01-23,10,22,32,0,0,0,0,,,54
2023-01-24,10,8,22,0,0,0,0,,,30
2023-01-25,9,18,12,0,0,0,0,,,30
2023-01-26,13,21,22,0,0,0,0,,,43
2023-01-27,5,10,20,0,0,0,0,,,30
2023-01-28,9,21,13,0,1,0,0,,,34
2023-01-29,8,10,14,0,0,0,0,,,24
2023-01-30,38,44,35,0,1,1,0,,,79
2023-01-31,7,14,11,0,0,0,0,,,25
2023-02-01,9,0,0,0,0,0,0,,,0
2023-02-02,14,2,3,0,0,0,0,,,5
2023-02-03,13,8,3,0,0,0,0,,,11
2023-02-04,26,76,64,0,0,0,0,,,140
2023-02-05,10,19,21,0,0,0,0,,,40
2023-02-06,18,51,43,0,0,0,0,,,94
2023-02-07,13,37,18,0,0,0,0,,,55
2023-02-08,23,52,61,0,0,0,0,,,113
2023-02-09,17,39,69,0,0,0,0,,,108
2023-02-10,12,71,106,0,0,0,0,,,177
2023-02-11,9,27,26,0,0,0,0,,,53
2023-02-12,13,49,69,0,0,0,0,,,118
2023-02-13,20,41,63,0,0,0,0,,,104
2023-02-14,17,38,37,0,0,0,0,,,75
2023-02-15,12,21,16,0,0,0,0,,,37
2023-02-16,13,32,27,0,0,0,0,,,59
2023-02-17,14,49,35,0,0,0,0,,,84
2023-02-18,11,15,16,0,0,0,0,,,31
2023-02-19,27,49,66,0,1,1,0,,,115
2023-02-20,20,53,73,0,0,0,0,,,126
2023-02-21,7,12,15,0,0,0,0,,,27
2023-02-22,16,53,82,0,0,0,0,,,135
2023-02-23,23,53,116,0,0,0,0,,,169
2023-02-24,17,71,116,0,0,0,0,,,187
2023-02-25,16,22,26,0,0,0,0,,,48
2023-02-26,23,52,41,0,0,0,0,,,93
2023-02-27,30,51,53,0,0,0,0,,,104
2023-02-28,26,51,93,0,0,0,0,,,144
2023-03-01,21,62,85,0,0,0,0,,,147
2023-03-02,18,47,63,0,0,0,0,,,110
2023-03-03,8,40,109,0,0,0,0,,,149
2023-03-04,7,4,8,0,0,0,0,,,12
2023-03-05,21,27,24,0,0,0,0,,,51
2023-03-06,14,49,61,0,0,0,0,,,110
2023-03-07,45,47,49,0,1,0,0,,,96
2023-03-08,25,59,73,0,0,1,0,,,132
2023-03-09,11,49,39,0,0,0,0,,,88
2023-03-10,48,537,471,2,1,2,1,,,1008
2023-03-11,48,419,553,3,0,3,3,,,972
2023-03-12,35,288,357,0,0,2,2,,,645
2023-03-13,30,226,306,0,0,0,0,,,532
2023-03-14,20,100,136,0,0,0,0,,,236
2023-03-15,12,82,81,0,0,0,0,,,163
2023-03-16,28,376,656,0,0,0,0,,,1032
2023-03-17,9,74,108,1,0,0,0,,,182
2023-03-18,26,219,282,1,0,0,0,,,501
2023-03-19,25,117,153,0,0,0,0,,,270
2023-03-20,32,507,1331,2,0,0,0,,,1838
2023-03-21,31,179,264,0,0,0,0,,,443
2023-03-22,14,48,75,0,0,0,0,,,123
2023-03-23,14,39,56,0,0,0,0,,,95
2023-03-24,24,65,84,0,0,0,0,,,149
2023-03-25,11,16,21,0,0,0,0,,,37
2023-03-26,12,40,64,0,0,0,0,,,104
2023-03-27,12,19,28,0,0,0,0,,,47
2023-03-28,17,45,54,0,0,0,0,,,99
2023-03-29,5,7,13,0,0,0,0,,,20
2023-03-30,12,64,94,0,0,0,0,,,158
2023-03-31,11,184,238,0,0,0,0,,,422
2023-04-01,5,5,8,0,0,0,0,,,13
2023-04-02,5,10,3,0,0,0,0,,,13
2023-04-03,9,36,54,0,0,0,0,,,90
2023-04-04,10,74,67,0,0,0,0,,,141
2023-04-05,16,91,141,0,0,0,0,,,232
2023-04-06,5,14,28,0,0,0,0,,,42
2023-04-07,15,100,149,1,0,0,0,,,249
2023-04-08,11,49,43,0,0,0,0,,,92
2023-04-09,7,12,30,0,0,0,0,,,42
2023-04-10,8,48,43,0,0,0,0,,,91
2023-04-11,67,390,568,0,2,0,0,,,958
2023-04-12,91,383,726,0,3,10,8,,,1109
2023-04-13,39,231,769,0,1,1,0,,,1000
2023-04-14,28,175,310,1,0,0,0,,,485
2023-04-15,70,623,1215,3,1,9,10,,,1838
2023-04-16,32,374,590,0,0,1,1,,,964
2023-04-17,57,154,264,1,1,3,4,,,418
2023-04-18,82,308,356,0,0,8,6,,,664
2023-04-19,76,558,604,1,1,19,19,,,1162
2023-04-20,104,311,556,0,1,14,9,,,867
2023-04-21,36,150,446,0,1,2,1,,,596
2023-04-22,14,22,13,0,0,0,0,,,35
2023-04-23,33,251,268,0,1,0,0,,,519
2023-04-24,25,147,118,0,0,3,2,,,265
2023-04-25,33,121,79,0,1,2,1,,,200
2023-04-26,60,255,420,1,0,2,0,,,675
2023-04-27,20,41,61,2,0,6,4,,,102
2023-04-28,40,188,559,1,2,1,0,,,747
2023-04-29,22,178,359,0,0,0,0,,,537
2023-04-30,35,272,585,0,1,1,1,,,857
2023-05-01,32,316,628,0,0,4,9,,,944
2023-05-02,23,170,437,0,0,0,0,,,607
2023-05-03,8,50,42,0,0,0,0,,,92
2023-05-04,32,146,320,0,1,5,3,,,466
2023-05-05,8,98,212,0,0,0,4,,,310
2023-05-06,34,147,169,1,1,3,3,,,316
2023-05-07,13,73,64,0,1,0,0,,,137
2023-05-08,21,86,78,0,0,1,3,,,164
2023-05-09,19,101,123,0,0,0,3,,,224
2023-05-10,9,55,73,0,0,0,0,,,128
2023-05-11,12,84,103,0,1,0,0,,,187
2023-05-12,13,49,23,1,0,0,2,,,72
2023-05-13,11,34,22,0,0,0,0,,,56
2023-05-14,14,57,46,0,1,3,0,,,103
2023-05-15,9,19,20,0,0,2,0,,,39
2023-05-16,3,8,5,0,0,0,0,,,13
2023-05-17,8,25,12,0,0,0,0,,,37
2023-05-18,6,60,71,1,0,0,0,,,131
2023-05-19,29,214,274,1,1,0,0,,,488
2023-05-20,16,116,112,3,1,3,4,,,228
2023-05-21,7,46,45,0,1,0,0,,,91
2023-05-22,9,39,93,0,0,0,0,,,132
2023-05-23,6,81,100,0,0,0,4,,,181
2023-05-24,8,48,58,1,0,0,0,,,106
2023-05-25,1,0,0,0,0,0,0,,,0
2023-05-26,5,22,24,0,0,0,0,,,46
2023-05-27,3,16,8,0,0,0,0,,,24
2023-05-28,1,2,0,0,0,0,0,,,2
2023-05-29,6,4,6,0,0,0,0,,,10
2023-05-30,11,2,1,0,2,2,0,,,3
2023-05-31,5,17,33,0,0,0,0,,,50
2023-06-01,8,113,174,0,2,0,0,,,287
2023-06-02,21,200,180,0,0,0,0,,,380
2023-06-03,22,139,318,0,1,0,0,,,457
2023-06-04,9,24,18,0,1,0,0,,,42
2023-06-05,10,16,17,0,1,0,0,,,33
2023-06-06,1,0,3,0,0,0,0,,,3
2023-06-07,15,78,108,0,0,2,0,,,186
2023-06-08,5,6,4,0,0,0,0,,,10
2023-06-09,7,10,11,0,1,2,2,,,21
2023-06-10,11,113,55,0,1,1,0,,,168
2023-06-11,14,62,23,0,1,1,0,,,85
2023-06-12,13,147,216,0,1,0,0,,,363
2023-06-13,26,155,193,1,0,1,2,,,348
2023-06-14,20,160,77,0,0,0,0,,,237
2023-06-15,21,211,143,1,0,0,0,,,354
2023-06-16,11,215,234,0,0,0,0,,,449
2023-06-17,14,21,4,0,1,2,1,,,25
2023-06-18,37,186,148,2,0,0,0,,,334
2023-06-19,15,131,235,1,0,0,0,,,366
2023-06-20,39,213,308,0,1,7,0,,,521
2023-06-21,60,119,87,1,0,0,0,,,206
2023-06-22,15,43,19,0,0,0,1,,,62
2023-06-23,58,89,158,1,1,8,6,,,247
2023-06-24,25,83,185,0,0,2,2,,,268
2023-06-25,17,70,45,0,0,0,0,,,115
2023-06-26,27,83,191,0,1,4,4,,,274
2023-06-27,45,137,142,1,0,6,3,,,279
2023-06-28,31,81,297,0,1,6,6,,,378
2023-06-29,10,22,19,0,0,0,0,,,41
2023-06-30,23,144,81,1,0,0,0,,,225
2023-07-01,20,61,66,0,0,0,2,,,127
2023-07-02,16,64,76,0,0,0,0,,,140
2023-07-03,54,159,398,4,1,6,6,,,557
2023-07-04,30,99,520,0,1,2,2,,,619
2023-07-05,14,27,168,0,0,1,1,,,195
2023-07-06,7,56,116,0,0,0,0,,,172
